id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
223890,Male,28,1,14.0,1,< 1 Year,No,66079.0,152.0,255,0
101548,Female,52,1,28.0,0,1-2 Year,Yes,31295.0,13.0,209,0
81434,Male,26,1,5.0,1,< 1 Year,Yes,25328.0,152.0,91,0
342605,Female,25,1,16.0,1,< 1 Year,No,25903.0,152.0,145,0
367667,Male,21,1,8.0,0,1-2 Year,Yes,39703.0,124.0,246,1
36949,Female,45,1,46.0,0,1-2 Year,Yes,32898.0,26.0,143,1
347952,Female,55,1,33.0,0,1-2 Year,Yes,48870.0,152.0,241,0
254223,Male,35,1,8.0,1,1-2 Year,No,2630.0,152.0,152,0
96040,Male,21,1,33.0,0,1-2 Year,No,21965.0,154.0,175,1
6651,Female,40,1,47.0,1,1-2 Year,No,30677.0,124.0,38,0
126651,Female,20,1,36.0,1,< 1 Year,No,30318.0,160.0,203,0
115798,Male,22,1,51.0,0,< 1 Year,Yes,2630.0,152.0,18,0
147687,Male,25,1,27.0,0,< 1 Year,Yes,25172.0,152.0,130,0
112005,Female,48,1,15.0,0,1-2 Year,Yes,33115.0,26.0,36,0
338661,Male,34,1,8.0,0,1-2 Year,No,22856.0,124.0,205,0
325198,Female,22,1,8.0,1,< 1 Year,No,22799.0,152.0,292,0
187723,Male,61,1,28.0,0,1-2 Year,Yes,49835.0,122.0,62,0
221506,Female,24,1,14.0,1,< 1 Year,No,31440.0,152.0,196,0
65965,Male,55,1,48.0,1,1-2 Year,No,2630.0,124.0,30,0
126530,Male,53,1,28.0,0,1-2 Year,Yes,2630.0,124.0,46,0
95911,Female,36,1,46.0,0,1-2 Year,Yes,2630.0,156.0,287,0
108680,Male,29,1,29.0,1,< 1 Year,No,33150.0,152.0,267,0
103812,Female,26,1,41.0,1,< 1 Year,No,31223.0,152.0,57,0
70252,Male,53,1,8.0,0,1-2 Year,Yes,2630.0,156.0,119,0
146616,Female,40,1,46.0,0,1-2 Year,Yes,2630.0,124.0,23,1
53145,Female,30,1,30.0,1,< 1 Year,No,52646.0,152.0,59,0
22833,Male,79,1,28.0,0,1-2 Year,No,2630.0,54.0,172,0
120934,Female,62,1,28.0,0,1-2 Year,No,34853.0,124.0,146,0
351015,Male,38,1,33.0,1,1-2 Year,No,34606.0,29.0,21,0
278874,Male,46,1,28.0,0,1-2 Year,No,38744.0,26.0,232,0
130889,Female,38,1,8.0,0,1-2 Year,No,26031.0,124.0,216,0
337121,Male,76,1,47.0,0,1-2 Year,Yes,35202.0,124.0,70,0
357106,Female,41,1,28.0,1,1-2 Year,No,31469.0,26.0,79,0
183389,Male,46,1,28.0,0,1-2 Year,Yes,25025.0,124.0,49,1
251446,Male,24,1,47.0,0,< 1 Year,Yes,37129.0,152.0,124,0
267924,Female,37,1,11.0,0,1-2 Year,Yes,23720.0,124.0,29,0
89003,Female,25,1,44.0,1,< 1 Year,No,33360.0,152.0,238,0
48129,Female,21,1,8.0,1,< 1 Year,No,32240.0,160.0,48,0
347307,Male,52,1,31.0,0,1-2 Year,Yes,2630.0,26.0,226,0
316918,Male,22,1,16.0,0,< 1 Year,Yes,25278.0,152.0,53,0
118893,Female,22,1,46.0,1,< 1 Year,No,18603.0,152.0,30,0
194122,Male,60,1,50.0,0,1-2 Year,Yes,31936.0,124.0,269,0
234950,Male,71,1,3.0,0,> 2 Years,Yes,2630.0,156.0,261,1
49886,Female,41,1,35.0,0,1-2 Year,No,2630.0,156.0,42,1
20099,Male,23,1,36.0,0,< 1 Year,No,36865.0,160.0,46,0
376221,Female,47,1,11.0,0,1-2 Year,Yes,2630.0,25.0,156,1
340698,Male,31,1,15.0,1,< 1 Year,No,2630.0,160.0,192,0
265691,Male,32,1,29.0,1,< 1 Year,No,37321.0,152.0,10,0
176629,Female,21,1,46.0,0,< 1 Year,Yes,38404.0,26.0,109,0
217174,Female,29,1,15.0,0,< 1 Year,Yes,33523.0,152.0,196,0
367313,Male,51,1,13.0,0,1-2 Year,Yes,35440.0,124.0,66,0
239970,Female,28,1,28.0,1,< 1 Year,No,51967.0,152.0,48,0
329169,Male,45,1,28.0,0,1-2 Year,Yes,2630.0,61.0,47,0
377048,Female,23,1,15.0,1,< 1 Year,No,38647.0,151.0,249,0
308401,Female,46,1,8.0,0,1-2 Year,Yes,33958.0,7.0,155,1
58337,Female,21,1,28.0,0,< 1 Year,Yes,49850.0,124.0,227,0
173882,Male,24,1,14.0,1,< 1 Year,No,23129.0,152.0,210,0
323720,Male,63,1,28.0,0,1-2 Year,Yes,46379.0,122.0,181,0
319541,Male,66,1,28.0,0,1-2 Year,Yes,28504.0,26.0,47,1
276559,Male,29,1,39.0,1,< 1 Year,No,23066.0,151.0,103,0
22690,Male,69,1,28.0,0,1-2 Year,No,58266.0,116.0,269,0
166203,Female,23,1,36.0,0,< 1 Year,No,30843.0,152.0,168,0
118979,Male,45,1,26.0,0,1-2 Year,No,29259.0,120.0,73,0
193816,Female,36,1,16.0,1,1-2 Year,No,23303.0,152.0,132,0
368366,Female,45,1,29.0,1,< 1 Year,No,2630.0,1.0,196,0
245155,Female,22,1,13.0,1,< 1 Year,No,22651.0,152.0,286,0
195743,Female,22,1,26.0,0,< 1 Year,Yes,29619.0,160.0,182,0
58353,Male,20,1,9.0,0,< 1 Year,Yes,23866.0,160.0,271,0
253315,Male,25,1,37.0,1,< 1 Year,No,30927.0,26.0,106,0
365697,Male,35,1,28.0,1,1-2 Year,No,41370.0,152.0,50,0
218367,Female,23,1,11.0,1,< 1 Year,No,28308.0,152.0,120,0
216237,Female,43,1,3.0,1,1-2 Year,No,25185.0,124.0,195,0
270962,Male,29,1,3.0,1,< 1 Year,No,32124.0,152.0,204,0
251220,Male,47,1,28.0,0,1-2 Year,No,38587.0,122.0,207,0
174654,Female,37,1,8.0,1,1-2 Year,No,2630.0,152.0,44,0
259913,Female,22,1,30.0,1,< 1 Year,No,22607.0,152.0,251,0
268578,Female,48,1,17.0,1,1-2 Year,No,51287.0,26.0,55,0
213994,Female,20,1,36.0,1,1-2 Year,No,2630.0,156.0,204,0
316256,Female,39,1,33.0,0,1-2 Year,Yes,35910.0,26.0,68,0
370000,Female,23,1,15.0,1,< 1 Year,No,27371.0,152.0,253,0
153946,Male,55,1,38.0,1,1-2 Year,No,2630.0,16.0,190,0
338399,Male,50,1,28.0,0,1-2 Year,Yes,63307.0,25.0,240,0
134029,Female,26,1,28.0,1,< 1 Year,No,30832.0,152.0,85,0
235586,Male,74,1,48.0,0,1-2 Year,Yes,2630.0,122.0,45,0
170029,Male,23,1,45.0,1,< 1 Year,No,36397.0,160.0,121,0
229405,Female,23,1,29.0,0,< 1 Year,Yes,43636.0,152.0,114,0
324000,Male,52,1,3.0,0,1-2 Year,Yes,28806.0,124.0,36,0
12281,Male,78,1,20.0,1,1-2 Year,No,2630.0,55.0,85,0
131830,Female,32,1,30.0,1,< 1 Year,No,26559.0,152.0,266,0
178759,Male,51,1,28.0,0,1-2 Year,Yes,28801.0,4.0,16,0
107068,Male,37,1,38.0,1,1-2 Year,No,21543.0,26.0,261,0
224022,Male,45,1,13.0,0,< 1 Year,Yes,34308.0,124.0,107,0
20029,Female,32,1,28.0,0,1-2 Year,Yes,45805.0,154.0,106,1
160091,Male,49,1,28.0,0,1-2 Year,Yes,41249.0,124.0,77,1
152610,Female,30,1,50.0,1,< 1 Year,No,29935.0,152.0,251,0
110812,Male,44,1,28.0,1,1-2 Year,No,49610.0,124.0,125,0
18113,Male,47,1,28.0,0,1-2 Year,Yes,47341.0,26.0,12,0
920,Male,42,1,8.0,1,1-2 Year,No,28725.0,26.0,284,0
265650,Female,37,1,11.0,0,1-2 Year,Yes,25863.0,26.0,216,0
244823,Female,38,1,3.0,1,1-2 Year,No,22710.0,152.0,196,0
358153,Male,22,1,8.0,0,< 1 Year,No,62106.0,152.0,193,0
295551,Male,20,1,47.0,0,< 1 Year,Yes,25115.0,160.0,112,0
220220,Female,70,1,48.0,0,1-2 Year,Yes,2630.0,15.0,88,0
153455,Male,62,1,28.0,1,1-2 Year,No,54798.0,26.0,89,0
309231,Female,79,1,50.0,0,1-2 Year,No,2630.0,124.0,91,0
58537,Male,31,1,28.0,1,< 1 Year,No,101025.0,152.0,74,0
259170,Female,66,1,33.0,1,1-2 Year,No,2630.0,124.0,158,0
81198,Female,27,1,16.0,1,< 1 Year,No,2630.0,152.0,122,0
329067,Female,42,1,28.0,0,1-2 Year,Yes,32507.0,124.0,238,0
157473,Male,46,1,7.0,1,1-2 Year,No,2630.0,124.0,73,0
200912,Male,24,1,43.0,1,< 1 Year,No,22869.0,152.0,204,0
172731,Female,21,1,11.0,0,< 1 Year,Yes,33325.0,152.0,159,0
325943,Female,23,1,18.0,1,< 1 Year,No,2630.0,160.0,227,0
297401,Female,22,1,4.0,0,< 1 Year,Yes,2630.0,160.0,128,1
247960,Female,70,1,28.0,0,1-2 Year,Yes,44480.0,61.0,251,0
78689,Female,40,1,28.0,0,1-2 Year,Yes,40777.0,26.0,195,1
293944,Female,66,1,28.0,0,1-2 Year,Yes,68981.0,122.0,69,1
244069,Male,27,1,11.0,0,< 1 Year,Yes,31419.0,152.0,242,1
244825,Male,34,1,36.0,1,1-2 Year,No,34701.0,152.0,248,0
132625,Female,22,1,8.0,1,< 1 Year,No,40714.0,152.0,115,0
354600,Female,54,1,28.0,0,1-2 Year,Yes,45195.0,116.0,61,0
265745,Female,21,1,50.0,0,< 1 Year,Yes,37693.0,152.0,256,1
186289,Female,22,1,3.0,1,< 1 Year,Yes,31744.0,152.0,42,0
298941,Female,22,1,24.0,0,< 1 Year,Yes,26140.0,152.0,234,0
3837,Female,42,1,28.0,0,1-2 Year,Yes,25300.0,124.0,204,0
356761,Male,71,1,8.0,0,1-2 Year,Yes,48719.0,26.0,48,0
157485,Female,27,1,8.0,1,< 1 Year,No,36430.0,152.0,127,0
267378,Male,73,1,8.0,1,1-2 Year,No,2630.0,26.0,234,0
133456,Male,34,1,10.0,0,1-2 Year,Yes,2630.0,157.0,166,0
156988,Male,73,1,28.0,1,1-2 Year,No,57671.0,60.0,98,0
32552,Female,55,1,28.0,0,> 2 Years,Yes,49262.0,124.0,295,0
145420,Male,38,1,47.0,0,1-2 Year,Yes,29237.0,124.0,49,1
125159,Female,39,1,28.0,0,1-2 Year,Yes,43615.0,26.0,64,0
28426,Male,21,1,46.0,1,< 1 Year,No,40901.0,152.0,46,0
146164,Male,53,1,28.0,1,1-2 Year,No,44089.0,124.0,164,0
347457,Male,42,1,41.0,1,1-2 Year,No,2630.0,124.0,211,0
302508,Male,25,1,8.0,1,< 1 Year,No,67992.0,152.0,255,0
234473,Male,43,1,47.0,0,1-2 Year,Yes,38350.0,124.0,172,0
345176,Female,29,1,28.0,0,< 1 Year,Yes,29026.0,158.0,65,1
282874,Female,55,1,41.0,0,< 1 Year,Yes,2630.0,26.0,213,0
225141,Female,43,1,50.0,1,1-2 Year,No,30397.0,124.0,41,0
62828,Female,27,1,41.0,1,< 1 Year,No,26805.0,152.0,231,0
202581,Female,23,1,3.0,1,< 1 Year,No,28007.0,26.0,141,0
81625,Male,25,1,41.0,1,< 1 Year,No,38723.0,152.0,270,0
124376,Male,23,1,36.0,0,< 1 Year,Yes,34520.0,152.0,106,1
74115,Female,24,1,36.0,1,< 1 Year,No,28030.0,152.0,109,0
179820,Female,50,1,35.0,1,1-2 Year,No,37779.0,26.0,122,0
105813,Male,52,1,28.0,0,1-2 Year,Yes,34564.0,124.0,15,0
4663,Male,51,1,48.0,0,1-2 Year,Yes,2630.0,26.0,62,0
31340,Female,29,1,30.0,1,< 1 Year,No,27517.0,152.0,55,0
56708,Female,33,1,46.0,0,< 1 Year,Yes,34006.0,124.0,285,0
24248,Female,35,1,21.0,0,1-2 Year,Yes,2630.0,157.0,34,1
236364,Female,22,1,12.0,0,< 1 Year,Yes,35754.0,152.0,229,0
239950,Male,20,1,4.0,1,< 1 Year,No,2630.0,160.0,271,0
214491,Male,44,1,46.0,1,1-2 Year,No,52088.0,90.0,137,0
101524,Female,24,1,35.0,1,< 1 Year,No,23005.0,152.0,144,0
248460,Female,22,1,46.0,1,< 1 Year,No,28925.0,152.0,68,0
160688,Female,59,1,35.0,0,1-2 Year,Yes,2630.0,26.0,81,0
372561,Male,23,1,18.0,0,1-2 Year,Yes,33366.0,26.0,154,0
11157,Male,22,1,41.0,1,< 1 Year,No,33815.0,152.0,84,0
113966,Male,44,1,8.0,0,1-2 Year,Yes,41555.0,124.0,298,0
242229,Female,41,1,18.0,1,1-2 Year,Yes,37612.0,163.0,177,0
268240,Male,25,1,25.0,1,< 1 Year,No,24830.0,152.0,67,0
124774,Male,67,1,41.0,1,1-2 Year,No,47521.0,12.0,289,0
75724,Male,28,1,14.0,0,1-2 Year,No,2630.0,157.0,11,0
47281,Male,21,1,15.0,0,< 1 Year,Yes,33241.0,160.0,257,0
368734,Male,48,1,36.0,0,1-2 Year,Yes,2630.0,14.0,228,0
81432,Female,54,1,30.0,1,1-2 Year,No,28474.0,152.0,211,0
137154,Female,47,1,28.0,1,1-2 Year,No,2630.0,26.0,48,0
358762,Male,24,1,46.0,1,< 1 Year,No,28859.0,152.0,277,0
248505,Male,46,1,28.0,0,1-2 Year,Yes,38617.0,124.0,31,0
181587,Female,23,1,8.0,1,< 1 Year,No,100574.0,160.0,43,0
228084,Female,27,1,2.0,1,< 1 Year,No,33253.0,26.0,295,0
108707,Female,24,1,6.0,1,< 1 Year,No,32376.0,152.0,229,0
239901,Male,24,1,15.0,0,< 1 Year,Yes,31948.0,152.0,53,0
120381,Male,65,1,28.0,0,1-2 Year,Yes,56075.0,26.0,10,0
302835,Female,72,1,41.0,1,1-2 Year,No,40932.0,12.0,46,0
158143,Male,55,1,28.0,1,1-2 Year,No,54348.0,26.0,233,0
275196,Female,55,1,28.0,1,1-2 Year,No,41963.0,26.0,104,0
221931,Male,34,1,28.0,0,1-2 Year,Yes,2630.0,156.0,90,0
247423,Female,38,1,46.0,1,1-2 Year,No,24302.0,124.0,73,0
8552,Male,40,1,7.0,0,1-2 Year,Yes,26510.0,124.0,270,0
64193,Male,43,1,38.0,0,1-2 Year,Yes,2630.0,124.0,256,1
322538,Female,23,1,8.0,1,< 1 Year,No,26318.0,152.0,61,0
205901,Male,39,1,8.0,0,1-2 Year,Yes,30813.0,124.0,284,0
40972,Female,53,1,28.0,0,> 2 Years,Yes,37247.0,154.0,90,0
160827,Female,20,1,28.0,1,< 1 Year,No,2630.0,160.0,188,0
333953,Male,47,1,28.0,0,> 2 Years,Yes,75302.0,26.0,265,1
373278,Male,54,1,23.0,0,1-2 Year,Yes,2630.0,156.0,28,0
263628,Female,49,1,28.0,1,1-2 Year,No,62138.0,124.0,242,0
313133,Female,20,1,9.0,1,< 1 Year,No,49767.0,160.0,22,0
269700,Male,55,1,36.0,0,1-2 Year,No,2630.0,26.0,39,0
125310,Female,21,1,39.0,0,< 1 Year,Yes,33156.0,160.0,203,0
129797,Male,45,1,15.0,1,1-2 Year,Yes,29446.0,4.0,117,0
64199,Male,47,1,46.0,0,1-2 Year,Yes,38449.0,26.0,24,1
174280,Male,38,1,43.0,1,1-2 Year,No,42039.0,124.0,40,0
212570,Female,42,1,46.0,1,1-2 Year,No,25068.0,124.0,17,0
380775,Female,43,1,28.0,0,1-2 Year,Yes,45093.0,124.0,191,0
40709,Female,24,1,15.0,1,< 1 Year,No,26035.0,152.0,116,0
271477,Male,26,1,30.0,1,< 1 Year,No,34723.0,152.0,189,0
140143,Male,44,1,28.0,1,1-2 Year,Yes,35636.0,124.0,260,0
33227,Male,53,1,28.0,1,1-2 Year,No,50521.0,13.0,46,0
64058,Female,20,1,15.0,0,< 1 Year,Yes,26828.0,160.0,75,0
245958,Male,25,1,50.0,0,< 1 Year,Yes,26923.0,152.0,275,0
206748,Male,24,1,44.0,1,< 1 Year,No,26261.0,152.0,78,0
112117,Female,26,1,35.0,0,< 1 Year,Yes,35923.0,26.0,138,0
293036,Female,26,1,29.0,1,< 1 Year,No,26548.0,152.0,221,0
336315,Female,20,1,8.0,1,< 1 Year,No,42203.0,160.0,248,0
322770,Male,40,1,28.0,0,1-2 Year,Yes,34908.0,26.0,117,1
200141,Female,46,1,28.0,0,> 2 Years,Yes,55518.0,26.0,185,0
153050,Female,27,1,37.0,0,< 1 Year,No,32166.0,152.0,55,0
33177,Male,20,1,34.0,0,< 1 Year,Yes,49262.0,160.0,209,0
130829,Female,45,1,28.0,0,1-2 Year,Yes,27655.0,124.0,58,1
262651,Male,52,1,39.0,0,1-2 Year,Yes,28340.0,26.0,84,0
335718,Female,37,1,23.0,0,1-2 Year,Yes,2630.0,156.0,189,0
380188,Female,23,1,8.0,1,< 1 Year,No,29004.0,152.0,226,0
82283,Female,38,1,8.0,0,< 1 Year,No,2630.0,1.0,85,0
358988,Male,26,1,8.0,0,< 1 Year,No,43715.0,152.0,106,0
92221,Female,28,1,23.0,1,< 1 Year,No,33400.0,152.0,280,0
40847,Female,44,1,47.0,1,1-2 Year,No,35251.0,152.0,223,0
108824,Male,66,1,47.0,0,1-2 Year,Yes,31016.0,16.0,92,0
119215,Male,21,1,36.0,1,< 1 Year,Yes,32606.0,160.0,289,0
246395,Male,35,1,29.0,0,1-2 Year,Yes,38185.0,124.0,23,0
141981,Male,21,1,7.0,1,< 1 Year,No,51846.0,160.0,157,0
243628,Male,33,1,3.0,1,1-2 Year,No,2630.0,124.0,103,0
77891,Male,44,1,28.0,1,1-2 Year,No,31992.0,124.0,190,0
301354,Male,45,1,28.0,0,> 2 Years,Yes,30487.0,156.0,25,0
26538,Male,36,1,8.0,1,1-2 Year,No,37480.0,26.0,188,0
287671,Male,42,1,28.0,0,> 2 Years,Yes,51893.0,26.0,189,0
307766,Female,23,1,29.0,1,< 1 Year,No,33722.0,152.0,291,0
321389,Male,29,1,4.0,1,< 1 Year,No,54194.0,152.0,81,0
165528,Female,40,1,28.0,0,1-2 Year,Yes,24132.0,26.0,128,0
102392,Male,36,1,43.0,0,1-2 Year,Yes,2630.0,154.0,192,1
11843,Male,39,1,18.0,0,1-2 Year,Yes,2630.0,157.0,246,1
29658,Male,53,1,28.0,0,1-2 Year,Yes,37850.0,26.0,192,0
231357,Female,23,1,27.0,0,< 1 Year,Yes,32792.0,152.0,279,0
70915,Male,21,1,2.0,0,< 1 Year,Yes,36112.0,160.0,25,0
172850,Male,70,1,50.0,0,1-2 Year,Yes,25006.0,26.0,109,0
156898,Female,24,1,45.0,1,< 1 Year,No,20740.0,152.0,60,0
12221,Male,48,1,8.0,0,1-2 Year,Yes,82085.0,26.0,239,0
362707,Male,35,1,10.0,0,1-2 Year,Yes,25617.0,160.0,209,0
73054,Male,58,1,28.0,1,1-2 Year,No,44206.0,13.0,122,0
216314,Male,63,1,3.0,1,1-2 Year,No,35830.0,26.0,207,0
116165,Male,56,1,28.0,0,> 2 Years,Yes,74566.0,26.0,126,1
357703,Male,37,1,47.0,0,1-2 Year,No,2630.0,16.0,255,0
41329,Male,27,1,30.0,1,< 1 Year,No,26391.0,152.0,245,0
175631,Female,47,1,11.0,0,1-2 Year,Yes,31828.0,124.0,89,0
116945,Male,54,1,3.0,0,1-2 Year,Yes,38078.0,124.0,163,0
236955,Female,21,1,47.0,0,< 1 Year,Yes,35566.0,152.0,149,0
196405,Male,27,1,15.0,1,< 1 Year,No,28878.0,152.0,108,0
326442,Male,50,1,28.0,0,1-2 Year,Yes,48511.0,26.0,245,0
169950,Male,26,1,3.0,0,< 1 Year,No,26219.0,152.0,293,0
329207,Female,24,1,6.0,1,< 1 Year,No,28745.0,152.0,293,0
373314,Male,23,1,27.0,0,< 1 Year,Yes,36264.0,152.0,232,0
152978,Female,37,1,36.0,1,1-2 Year,No,26847.0,152.0,38,0
1110,Male,56,1,28.0,1,1-2 Year,No,2630.0,26.0,242,0
312729,Male,27,1,41.0,1,< 1 Year,No,2630.0,160.0,293,0
278256,Male,29,1,10.0,1,< 1 Year,No,28898.0,152.0,113,0
276331,Female,37,1,28.0,1,1-2 Year,No,30060.0,55.0,147,0
201385,Male,42,1,28.0,0,1-2 Year,Yes,40470.0,124.0,175,0
349813,Female,23,1,30.0,1,< 1 Year,No,25053.0,152.0,21,0
57340,Female,58,1,28.0,0,1-2 Year,Yes,40984.0,26.0,130,0
250381,Female,26,1,37.0,1,< 1 Year,No,2630.0,26.0,292,0
176418,Male,48,1,37.0,0,1-2 Year,Yes,35330.0,124.0,268,0
39983,Female,26,1,19.0,1,< 1 Year,No,29414.0,152.0,286,0
301807,Male,37,1,2.0,0,1-2 Year,Yes,25060.0,124.0,280,0
163517,Female,59,1,47.0,0,1-2 Year,Yes,35513.0,124.0,185,0
257597,Male,50,1,28.0,0,1-2 Year,Yes,41274.0,13.0,142,1
112685,Female,23,1,15.0,1,< 1 Year,No,33288.0,152.0,98,0
218794,Male,24,1,11.0,1,< 1 Year,No,29975.0,152.0,280,0
285872,Female,29,1,28.0,1,< 1 Year,No,31131.0,152.0,267,0
287383,Female,26,1,18.0,1,< 1 Year,No,31161.0,152.0,58,0
257171,Female,24,1,28.0,1,< 1 Year,No,31615.0,152.0,89,0
299446,Male,56,1,0.0,0,1-2 Year,Yes,2630.0,122.0,52,0
215062,Male,61,1,15.0,1,1-2 Year,No,2630.0,124.0,139,0
278536,Male,31,1,28.0,0,1-2 Year,Yes,31634.0,157.0,110,0
335596,Male,49,1,8.0,1,1-2 Year,No,49705.0,124.0,28,0
56763,Male,26,1,28.0,1,< 1 Year,No,39950.0,152.0,141,0
279957,Male,42,1,28.0,1,1-2 Year,No,42364.0,124.0,52,0
307845,Female,55,1,14.0,1,1-2 Year,No,32578.0,26.0,286,0
256375,Male,26,1,45.0,0,< 1 Year,Yes,27505.0,152.0,95,0
214129,Male,20,1,15.0,0,< 1 Year,Yes,28057.0,160.0,123,0
237763,Male,60,1,20.0,0,> 2 Years,Yes,2630.0,26.0,205,1
366502,Male,28,1,11.0,0,< 1 Year,Yes,2630.0,124.0,291,1
334611,Male,35,1,36.0,0,1-2 Year,Yes,37983.0,154.0,295,1
292956,Male,22,1,31.0,1,< 1 Year,No,2630.0,152.0,232,0
374121,Male,21,1,9.0,1,< 1 Year,No,2630.0,160.0,295,0
205879,Male,22,1,12.0,1,< 1 Year,No,25574.0,152.0,199,0
241756,Female,70,1,22.0,0,1-2 Year,Yes,33699.0,124.0,26,0
299510,Male,69,1,18.0,1,1-2 Year,No,29371.0,26.0,230,0
373152,Female,32,1,41.0,1,< 1 Year,No,23059.0,152.0,84,0
97710,Female,24,1,3.0,1,< 1 Year,No,31961.0,152.0,155,0
248737,Male,40,1,28.0,0,> 2 Years,Yes,37223.0,26.0,17,0
23295,Male,48,1,6.0,1,1-2 Year,No,34914.0,124.0,10,0
263946,Male,24,1,28.0,1,< 1 Year,No,33959.0,152.0,110,0
139020,Female,53,1,12.0,1,1-2 Year,No,42685.0,26.0,151,0
245375,Female,41,1,28.0,0,1-2 Year,Yes,38779.0,26.0,35,0
229585,Female,21,1,39.0,0,< 1 Year,No,2630.0,160.0,92,0
